File1,File2,Folder,Device,freq_MHz,relStr_dB,strDiff_dB,relDist_Hz,width_Hz,phase_rad,autoCorrelation_lag-2,alpha,alpha_mean,flux,freq_MHz_2,relStr_dB_2,strDiff_dB_2,relDist_Hz_2,width_Hz_2,phase_rad_2,autoCorrelation_lag-2_2,alpha_2,alpha_mean_2,flux_2
arduino1_antenna_powersave_4_0_288-1MHz.iq,arduino1_antenna_powersave_4_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/p2,Arduino 1,288013564,31.19568517,0,0,61.03701895,NaN,-0.5678389505,13,13,3.27E-09,304014296.4,33.37781327,93.46233953,-16000732.44,91.5555284,NaN,-0.549368558,30,30,6.90E-09
arduino1_antenna_powersave_4_0_288-1MHz.iq,arduino1_antenna_powersave_4_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/p2,Arduino 1,288013564,27.3086327,0,0,76.29627365,NaN,-0.5690780211,91,91,3.16E-09,304014296.4,33.79975076,80.7953671,-16000732.44,137.3332927,NaN,-0.549440556,145,144,7.03E-09
arduino1_antenna_powersave_4_0_288-1MHz.iq,arduino1_antenna_powersave_4_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/p2,Arduino 1,288013548.7,27.64124891,0,0,61.03701895,NaN,-0.5695216188,13,13,3.51E-09,304014296.4,33.21735138,83.21328391,-16000747.7,61.03701895,NaN,-0.5492937845,4,4,6.31E-09
arduino1_antenna_powersave_4_0_288-1MHz.iq,arduino1_antenna_powersave_4_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/p2,Arduino 1,288013548.7,28.85092944,0,0,61.03701895,NaN,-0.5703571998,92,92,2.81E-09,304014296.4,32.76586354,88.05179025,-16000747.7,91.5555284,NaN,-0.549332512,80,80,5.84E-09
arduino1_antenna_powersave_4_0_288-1MHz.iq,arduino1_antenna_powersave_4_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/p2,Arduino 1,288013548.7,30.34339444,0,0,76.29627371,NaN,-0.5704654278,13,13,3.27E-09,304014296.4,31.74033565,95.59884548,-16000747.7,61.03701895,NaN,-0.5490971707,30,30,5.82E-09
arduino1_antenna_powersave_4_0_288-1MHz.iq,arduino1_antenna_powersave_4_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/p2,Arduino 1,288013548.7,31.27071907,0,0,61.03701895,NaN,-0.5694107349,13,13,3.40E-09,304014296.4,31.20529469,100.209658,-16000747.7,76.29627371,NaN,-0.5494824657,57,57,5.79E-09
arduino1_antenna_powersave_4_0_288-1MHz.iq,arduino1_antenna_powersave_4_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/p2,Arduino 1,288013548.7,29.36515414,0,0,61.03701895,NaN,-0.5698399795,14,14,3.47E-09,304014296.4,30.65847627,95.78151855,-16000747.7,76.29627371,NaN,-0.5494742223,88,88,5.62E-09
arduino1_antenna_powersave_4_0_288-1MHz.iq,arduino1_antenna_powersave_4_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/p2,Arduino 1,288013548.7,28.71158017,0,0,76.29627371,NaN,-0.5696527717,13,13,2.92E-09,304014281.1,30.86762656,93.0151857,-16000732.44,152.5925474,NaN,-0.5496147572,137,10,6.03E-09
arduino1_antenna_powersave_4_1_288-1MHz.iq,arduino1_antenna_powersave_4_1_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/p2,Arduino 1,288013533.4,31.78832735,0,0,76.29627371,NaN,-0.5699647501,14,14,2.96E-09,304014281.1,34.74961082,91.47822551,-16000747.7,152.5925474,NaN,-0.5498759755,92,92,7.33E-09
arduino1_antenna_powersave_4_1_288-1MHz.iq,arduino1_antenna_powersave_4_1_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/p2,Arduino 1,288013533.4,31.00111337,0,0,152.5925474,NaN,-0.5698576678,13,13,3.36E-09,304014281.1,34.69731433,89.34729954,-16000747.7,91.5555284,NaN,-0.5499297416,28,28,7.63E-09
